,REQUEST_GUID,FORM_ID,COUNTRY,USAGE,UPDATE_DT,FUNCTION,RESULT_INDICATOR,OPERATOR,LIMIT,UNIT,HIGH_OPERATOR,HIGH_LIMIT,CITATION,REGLINK,COMMENTS,CITATION_UPDATE_IN_PROGRESS,REGULATION_NAME
1012381,20211122226,215389,French Guiana,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,EU Pesticides Database: Regulation (EC) 396/2005 as amended - Thiamethoxam,doc=eu_pest_en.pdf&pg=1,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** 0610000 Teas **country:** European Union  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012382,20211122226,215389,Greenland,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,EU Pesticides Database: Regulation (EC) 396/2005 as amended - Thiamethoxam,doc=eu_pest_en.pdf&pg=1,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** 0610000 Teas **country:** European Union  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012383,20211122226,215389,Madagascar,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012384,20211122226,215389,Comoros,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012385,20211122226,215389,French Polynesia,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,EU Pesticides Database: Regulation (EC) 396/2005 as amended - Thiamethoxam,doc=eu_pest_en.pdf&pg=1,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** 0610000 Teas **country:** European Union  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012391,20211122226,215389,WHO,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,-,871.0,PPM,-,,Recommended Classification of Pesticides by Hazard and guidelines to classification (2019) - Pesticide Residues,doc=who_class_pest_2019.pdf&pg=38,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Food   **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012392,20211122226,215389,WHO,Tea (instant),2021-11-22,Pesticides,LIMITED,-,871.0,PPM,-,,Recommended Classification of Pesticides by Hazard and guidelines to classification (2019) - Pesticide Residues,doc=who_class_pest_2019.pdf&pg=38,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Food   **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012393,20211122226,215389,WHO,Tea (ready-to-drink),2021-11-22,Pesticides,LIMITED,-,871.0,PPM,-,,Recommended Classification of Pesticides by Hazard and guidelines to classification (2019) - Pesticide Residues,doc=who_class_pest_2019.pdf&pg=38,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Food   **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012398,20211122226,215389,CEMAC,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012399,20211122226,215389,Solomon Islands,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012400,20211122226,215389,Kiribati,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012401,20211122226,215389,French West Indies,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,EU Pesticides Database: Regulation (EC) 396/2005 as amended - Thiamethoxam,doc=eu_pest_en.pdf&pg=1,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** 0610000 Teas **country:** European Union  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012402,20211122226,215389,Turks & Caicos,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,EU Pesticides Database: Regulation (EC) 396/2005 as amended - Thiamethoxam,doc=eu_pest_en.pdf&pg=1,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** 0610000 Teas **country:** European Union  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
